id,common_name,species,lineage,clade,aliases
dong-quai,dong quai,Angelica sinensis,Apiaceae,plant,
lovage,lovage,Levisticum officinale,Apiaceae,plant,
cilantro,cilantro / coriander,Coriandrum sativum,Apiaceae,plant,coriander
parsnip,parsnip,Pastinaca sativa,Apiaceae,plant,
mediterranean-hartwort,Mediterranean hartwort (kafkalithra),Tordylium apulum,Apiaceae,plant,kafkalithra
hogweed,hogweed,Heracleum sphondylium,Apiaceae,plant,
golpar,golpar,Heracleum persicum,Apiaceae,plant,
cow-parsnip,cow parsnip,Heracleum maximum,Apiaceae,plant,
masterwort,masterwort,Peucedanum ostruthium,Apiaceae,plant,
botanbofu,botanbofu,Peucedanum japonicum,Apiaceae,plant,
ashitaba,ashitaba,Angelica keiskei,Apiaceae,plant,
angelica,angelica,Angelica archangelica,Apiaceae,plant,
bai-zhi,bai zhi,Angelica dahurica,Apiaceae,plant,
korean-angelica,Korean angelica (chamdanggwi),Angelica gigas,Apiaceae,plant,chamdanggwi
hamabofu,hamabofu,Glehnia littoralis,Apiaceae,plant,
seacoast-angelica,seacoast angelica,Angelica lucida,Apiaceae,plant,
purplestem-angelica,purplestem angelica,Angelica atropurpurea,Apiaceae,plant,
indian-celery,Indian celery,Lomatium nudicaule,Apiaceae,plant,
cous-biscuitroot,cous biscuitroot,Lomatium cous,Apiaceae,plant,
arracacha,arracacha,Arracacia xanthorrhiza,Apiaceae,plant,
syrian-cephalaria,Syrian cephalaria (pelemir),Cephalaria syriaca,Caprifoliaceae,plant,pelemir
red-valerian,red valerian,Centranthus ruber,Caprifoliaceae,plant,
valerian,valerian,Valeriana officinalis,Caprifoliaceae,plant,
corn-salad,corn salad (mâche),Valerianella locusta,Caprifoliaceae,plant,mâche
italian-corn-salad,Italian corn salad,Valerianella eriocarpa,Caprifoliaceae,plant,
african-valerian,African valerian,Fedia cornucopiae,Caprifoliaceae,plant,
white-patrinia,white patrinia,Patrinia villosa,Caprifoliaceae,plant,
golden-lace,golden lace (mattari),Patrinia scabiosifolia,Caprifoliaceae,plant,mattari
haskap,haskap (honeyberry),Lonicera caerulea,Caprifoliaceae,plant,honeyberry
japanese-honeysuckle,Japanese honeysuckle (flowers),Lonicera japonica,Caprifoliaceae,plant,
himalayan-honeysuckle,Himalayan honeysuckle,Leycesteria formosa,Caprifoliaceae,plant,
highbush-cranberry,highbush cranberry,Viburnum trilobum,Adoxaceae,plant,
linden-arrowwood,linden arrowwood (fruit),Viburnum dilatatum,Adoxaceae,plant,
squashberry,squashberry,Viburnum edule,Adoxaceae,plant,
guelder-rose,guelder rose (kalina),Viburnum opulus,Adoxaceae,plant,kalina
blackhaw,blackhaw,Viburnum prunifolium,Adoxaceae,plant,
nannyberry,nannyberry,Viburnum lentago,Adoxaceae,plant,
witherod,witherod,Viburnum cassinoides,Adoxaceae,plant,
elder,elder,Sambucus nigra,Adoxaceae,plant,elderflower
american-elder,American elder,Sambucus canadensis,Adoxaceae,plant,
blue-elderberry,blue elderberry,Sambucus cerulea,Adoxaceae,plant,
chinese-elder,Chinese elder,Sambucus williamsii,Adoxaceae,plant,
red-elder,red elder (cooked),Sambucus racemosa,Adoxaceae,plant,
baroe,baroe,Cyphia digitata,Campanulaceae,plant,
balloon-flower,balloon flower (doraji),Platycodon grandiflorus,Campanulaceae,plant,doraji
canary-bellflower,Canary bellflower (fruit),Canarina canariensis,Campanulaceae,plant,
deodeok,deodeok,Codonopsis lanceolata,Campanulaceae,plant,
dangshen,dangshen,Codonopsis pilosula,Campanulaceae,plant,
shashen,shashen,Adenophora stricta,Campanulaceae,plant,
japanese-lady-bell,Japanese lady bell (jandae),Adenophora triphylla,Campanulaceae,plant,jandae
spiked-rampion,spiked rampion,Phyteuma spicatum,Campanulaceae,plant,
creeping-bellflower,creeping bellflower (root),Campanula rapunculoides,Campanulaceae,plant,
rampion,rampion,Campanula rapunculus,Campanulaceae,plant,
bogbean,bogbean,Menyanthes trifoliata,Menyanthaceae,plant,
fringed-water-lily,fringed water lily (xing cai),Nymphoides peltata,Menyanthaceae,plant,xing cai
lyrate-hemistepta,lyrate hemistepta,Hemistepta lyrata,Asteraceae,plant,
carqueja,carqueja,Baccharis trimera,Asteraceae,plant,
wall-lettuce,wall lettuce,Mycelis muralis,Asteraceae,plant,
vanilla-plant,vanilla plant (deer tongue),Carphephorus odoratissimus,Asteraceae,plant,deer tongue
cameroon-bitterleaf,Cameroon bitterleaf,Vernonia hymenolepis,Asteraceae,plant,
sweet-bitterleaf,sweet bitterleaf,Vernonia calvoana,Asteraceae,plant,
bitter-leaf,bitter leaf,Vernonia amygdalina,Asteraceae,plant,
chwinamul,chwinamul,Doellingeria scabra,Asteraceae,plant,
helencha,helencha,Enydra fluctuans,Asteraceae,plant,
toothache-plant,toothache plant (jambu),Acmella oleracea,Asteraceae,plant,jambu
beach-sunflower,beach sunflower (leaves),Melanthera biflora,Asteraceae,plant,
cut-leaved-vipers-grass,cut-leaved viper's grass,Podospermum laciniatum,Asteraceae,plant,
stemless-carline-thistle,stemless carline thistle,Carlina acaulis,Asteraceae,plant,
cotton-thistle,cotton thistle,Onopordum acanthium,Asteraceae,plant,
purple-milk-thistle,purple milk thistle,Galactites tomentosus,Asteraceae,plant,
artichoke,artichoke / cardoon,Cynara cardunculus,Asteraceae,plant,cardoon
syrian-thistle,Syrian thistle,Notobasis syriaca,Asteraceae,plant,
milk-thistle,milk thistle,Silybum marianum,Asteraceae,plant,
yamagobo,yamagobo,Cirsium dipsacolepis,Asteraceae,plant,
cabbage-thistle,cabbage thistle,Cirsium oleraceum,Asteraceae,plant,
edible-thistle,edible thistle,Cirsium edule,Asteraceae,plant,
burdock,burdock (gobo),Arctium lappa,Asteraceae,plant,gobo
lesser-burdock,lesser burdock,Arctium minus,Asteraceae,plant,
costus-root,costus root,Saussurea costus,Asteraceae,plant,
safflower,safflower,Carthamus tinctorius,Asteraceae,plant,
cornflower,cornflower (petals),Centaurea cyanus,Asteraceae,plant,
blessed-thistle,blessed thistle,Centaurea benedicta,Asteraceae,plant,
akkoub,akkoub (tumble thistle),Gundelia tournefortii,Asteraceae,plant,tumble thistle
spotted-golden-thistle,spotted golden thistle,Scolymus maculatus,Asteraceae,plant,
golden-thistle,golden thistle (tagarnina),Scolymus hispanicus,Asteraceae,plant,tagarnina
black-salsify,black salsify,Scorzonera hispanica,Asteraceae,plant,
salsify,salsify,Tragopogon porrifolius,Asteraceae,plant,
meadow-salsify,meadow salsify,Tragopogon pratensis,Asteraceae,plant,
yellow-salsify,yellow salsify,Tragopogon dubius,Asteraceae,plant,
stamnagathi,stamnagathi,Cichorium spinosum,Asteraceae,plant,
chicory,chicory / radicchio,Cichorium intybus,Asteraceae,plant,radicchio;belgian endive;witloof
endive,endive / escarole,Cichorium endivia,Asteraceae,plant,escarole;frisee
murnong,murnong (yam daisy),Microseris lanceolata,Asteraceae,plant,yam daisy
alpine-sow-thistle,alpine sow-thistle (turt),Cicerbita alpina,Asteraceae,plant,turt
indian-lettuce,Indian lettuce,Lactuca indica,Asteraceae,plant,
prickly-lettuce,prickly lettuce,Lactuca serriola,Asteraceae,plant,
lettuce,lettuce,Lactuca sativa,Asteraceae,plant,romaine;iceberg;salad greens;mesclun
blue-lettuce,blue lettuce,Lactuca perennis,Asteraceae,plant,
hyoseris,hyoseris,Hyoseris radiata,Asteraceae,plant,
french-scorzonera,French scorzonera,Reichardia picroides,Asteraceae,plant,
african-lettuce,African lettuce,Launaea taraxacifolia,Asteraceae,plant,
wild-lettuce,wild lettuce (East Africa),Launaea cornuta,Asteraceae,plant,East Africa
field-sow-thistle,field sow thistle,Sonchus arvensis,Asteraceae,plant,
sow-thistle,sow thistle,Sonchus oleraceus,Asteraceae,plant,
prickly-sow-thistle,prickly sow thistle,Sonchus asper,Asteraceae,plant,
skeletonweed,skeletonweed,Chondrilla juncea,Asteraceae,plant,
cats-ear,cat's ear,Hypochaeris radicata,Asteraceae,plant,
cretan-weed,Cretan weed,Hedypnois rhagadioloides,Asteraceae,plant,
bristly-oxtongue,bristly oxtongue,Helminthotheca echioides,Asteraceae,plant,
dandelion,dandelion,Taraxacum officinale,Asteraceae,plant,
sseumbagwi,sseumbagwi,Ixeris dentata,Asteraceae,plant,
go-deul-ppae-gi,go-deul-ppae-gi,Crepidiastrum sonchifolium,Asteraceae,plant,
oriental-false-hawksbeard,Oriental false hawksbeard,Youngia japonica,Asteraceae,plant,
nipplewort,nipplewort,Lapsana communis,Asteraceae,plant,
star-hawkbit,star hawkbit,Rhagadiolus stellatus,Asteraceae,plant,
beaked-hawksbeard,beaked hawksbeard,Crepis vesicaria,Asteraceae,plant,
coltsfoot,coltsfoot,Tussilago farfara,Asteraceae,plant,
fuki,fuki (butterbur),Petasites japonicus,Asteraceae,plant,butterbur
arctic-sweet-coltsfoot,Arctic sweet coltsfoot,Petasites frigidus,Asteraceae,plant,
gomchwi,gomchwi,Ligularia fischeri,Asteraceae,plant,
momijigasa,momijigasa,Parasenecio delphiniifolius,Asteraceae,plant,
tsuwabuki,tsuwabuki,Farfugium japonicum,Asteraceae,plant,
usan-namul,usan-namul,Syneilesis palmata,Asteraceae,plant,
bai-zi-cai,bai zi cai,Gynura divaricata,Asteraceae,plant,
okinawan-spinach,Okinawan spinach,Gynura bicolor,Asteraceae,plant,
longevity-spinach,longevity spinach,Gynura procumbens,Asteraceae,plant,
yoruba-bologi,Yoruba bologi,Crassocephalum rubens,Asteraceae,plant,
ebolo,ebolo (fireweed),Crassocephalum crepidioides,Asteraceae,plant,fireweed
scarlet-tasselflower,scarlet tasselflower,Emilia coccinea,Asteraceae,plant,
lilac-tasselflower,lilac tasselflower,Emilia sonchifolia,Asteraceae,plant,
pot-marigold,pot marigold,Calendula officinalis,Asteraceae,plant,
field-marigold,field marigold,Calendula arvensis,Asteraceae,plant,
roman-chamomile,Roman chamomile,Chamaemelum nobile,Asteraceae,plant,
tansy,tansy,Tanacetum vulgare,Asteraceae,plant,
costmary,costmary,Tanacetum balsamita,Asteraceae,plant,
german-chamomile,German chamomile,Matricaria chamomilla,Asteraceae,plant,
yarrow,yarrow,Achillea millefolium,Asteraceae,plant,
corn-marigold,corn marigold (mantilida),Glebionis segetum,Asteraceae,plant,mantilida
garland-chrysanthemum,garland chrysanthemum (shungiku),Glebionis coronaria,Asteraceae,plant,shungiku
florists-chrysanthemum,florist's chrysanthemum (tea),Chrysanthemum morifolium,Asteraceae,plant,
indian-chrysanthemum,Indian chrysanthemum,Chrysanthemum indicum,Asteraceae,plant,
genepi,génépi,Artemisia genipi,Asteraceae,plant,
white-genepi,white génépi,Artemisia umbelliformis,Asteraceae,plant,
wormwood,wormwood,Artemisia absinthium,Asteraceae,plant,
tree-wormwood,tree wormwood (sheeba),Artemisia arborescens,Asteraceae,plant,sheeba
glacier-wormwood,glacier wormwood,Artemisia glacialis,Asteraceae,plant,
white-sagebrush,white sagebrush,Artemisia ludoviciana,Asteraceae,plant,
white-mugwort,white mugwort,Artemisia lactiflora,Asteraceae,plant,
mugwort,mugwort,Artemisia vulgaris,Asteraceae,plant,
chinese-mugwort,Chinese mugwort,Artemisia argyi,Asteraceae,plant,
japanese-mugwort,Japanese mugwort (yomogi),Artemisia princeps,Asteraceae,plant,yomogi
southernwood,southernwood,Artemisia abrotanum,Asteraceae,plant,
african-wormwood,African wormwood,Artemisia afra,Asteraceae,plant,
roman-wormwood,Roman wormwood,Artemisia pontica,Asteraceae,plant,
sweet-wormwood,sweet wormwood (qinghao),Artemisia annua,Asteraceae,plant,qinghao
white-wormwood,white wormwood (shih),Artemisia herba-alba,Asteraceae,plant,shih
tarragon,tarragon,Artemisia dracunculus,Asteraceae,plant,wormwood;absinthe
daisy,daisy,Bellis perennis,Asteraceae,plant,
tatarian-aster,Tatarian aster (root),Aster tataricus,Asteraceae,plant,
yomena,yomena,Aster yomena,Asteraceae,plant,
sweet-goldenrod,sweet goldenrod,Solidago odora,Asteraceae,plant,
sambong,sambong,Blumea balsamifera,Asteraceae,plant,
elecampane,elecampane,Inula helenium,Asteraceae,plant,
indian-camphorweed,Indian camphorweed (beluntas),Pluchea indica,Asteraceae,plant,beluntas
curry-plant,curry plant,Helichrysum italicum,Asteraceae,plant,
red-dahlia,red dahlia (tubers),Dahlia coccinea,Asteraceae,plant,
garden-dahlia,garden dahlia (tubers),Dahlia pinnata,Asteraceae,plant,
ulam-raja,ulam raja,Cosmos caudatus,Asteraceae,plant,
sulphur-cosmos,sulphur cosmos (flowers),Cosmos sulphureus,Asteraceae,plant,
blackjack,blackjack (leaves),Bidens pilosa,Asteraceae,plant,
sumpweed,sumpweed,Iva annua,Asteraceae,plant,
sochan,sochan,Rudbeckia laciniata,Asteraceae,plant,
false-daisy,false daisy,Eclipta prostrata,Asteraceae,plant,
chinese-wedelia,Chinese wedelia,Wedelia chinensis,Asteraceae,plant,
purple-coneflower,purple coneflower,Echinacea purpurea,Asteraceae,plant,
narrow-leaved-coneflower,narrow-leaved coneflower,Echinacea angustifolia,Asteraceae,plant,
sunflower,sunflower,Helianthus annuus,Asteraceae,plant,sunflower oil;sunflower seeds
woodland-sunflower,woodland sunflower (tubers),Helianthus strumosus,Asteraceae,plant,
jerusalem-artichoke,Jerusalem artichoke,Helianthus tuberosus,Asteraceae,plant,
niger-seed,niger seed (nug),Guizotia abyssinica,Asteraceae,plant,nug
coat-buttons,coat buttons,Tridax procumbens,Asteraceae,plant,
shaggy-soldier,shaggy soldier,Galinsoga quadriradiata,Asteraceae,plant,
guascas,guascas,Galinsoga parviflora,Asteraceae,plant,
yacon,yacón,Smallanthus sonchifolius,Asteraceae,plant,
signet-marigold,signet marigold,Tagetes tenuifolia,Asteraceae,plant,
anisillo,anisillo,Tagetes filifolia,Asteraceae,plant,
mexican-tarragon,Mexican tarragon,Tagetes lucida,Asteraceae,plant,
aztec-marigold,Aztec marigold,Tagetes erecta,Asteraceae,plant,
french-marigold,French marigold,Tagetes patula,Asteraceae,plant,
huacatay,huacatay,Tagetes minuta,Asteraceae,plant,
pipicha,pipicha,Porophyllum linaria,Asteraceae,plant,
papalo,pápalo,Porophyllum ruderale,Asteraceae,plant,
cinchweed,cinchweed (limoncillo),Pectis papposa,Asteraceae,plant,limoncillo
madia,madia (melosa),Madia sativa,Asteraceae,plant,melosa
stevia,stevia,Stevia rebaudiana,Asteraceae,plant,
ayapana,ayapana,Ayapana triplinervis,Asteraceae,plant,
umari,umari,Poraqueiba sericea,Icacinaceae,plant,
man-of-the-earth,man-of-the-earth (root),Ipomoea pandurata,Convolvulaceae,plant,
bush-potato,bush potato (Ipomoea),Ipomoea costata,Convolvulaceae,plant,Ipomoea
bush-morning-glory,bush morning glory (root),Ipomoea leptophylla,Convolvulaceae,plant,
sweet-potato,sweet potato,Ipomoea batatas,Convolvulaceae,plant,yam (US);camote
water-spinach,water spinach (kangkong),Ipomoea aquatica,Convolvulaceae,plant,kangkong
rocoto,rocoto,Capsicum pubescens,Solanaceae,plant,
habanero,habanero,Capsicum chinense,Solanaceae,plant,scotch bonnet
aji-amarillo,ají amarillo,Capsicum baccatum,Solanaceae,plant,
tabasco-eye,tabasco / bird's eye,Capsicum frutescens,Solanaceae,plant,bird's eye
chili-pepper,chili / bell pepper,Capsicum annuum,Solanaceae,plant,bell pepper;jalapeno;paprika;cayenne;chile;chilli;red pepper flakes
cutleaf-groundcherry,cutleaf groundcherry,Physalis angulata,Solanaceae,plant,
strawberry-tomato,strawberry tomato,Physalis grisea,Solanaceae,plant,
ground-cherry,ground cherry,Physalis pruinosa,Solanaceae,plant,
goldenberry,goldenberry (cape gooseberry),Physalis peruviana,Solanaceae,plant,cape gooseberry
tomatillo,tomatillo,Physalis philadelphica,Solanaceae,plant,goldenberry
husk-tomato,husk tomato,Physalis pubescens,Solanaceae,plant,
chinese-lantern,Chinese lantern,Physalis alkekengi,Solanaceae,plant,
paneer-dodi,paneer dodi (vegetable rennet),Withania coagulans,Solanaceae,plant,vegetable rennet
ashwagandha,ashwagandha,Withania somnifera,Solanaceae,plant,
jaltomate,jaltomate,Jaltomata procumbens,Solanaceae,plant,
bitter-potato,bitter potato (curtilobum),Solanum curtilobum,Solanaceae,plant,curtilobum
bitter-potato-2,bitter potato (juzepczukii),Solanum juzepczukii,Solanaceae,plant,juzepczukii
ajanhuiri-potato,ajanhuiri potato,Solanum ajanhuiri,Solanaceae,plant,
naranjilla,naranjilla (lulo),Solanum quitoense,Solanaceae,plant,lulo
black-nightshade,black nightshade (cooked),Solanum nigrum,Solanaceae,plant,
hairy-nightshade,hairy nightshade,Solanum villosum,Solanaceae,plant,
potato,potato,Solanum tuberosum,Solanaceae,plant,potatoes;fries;french fries;chips
pitiquina-potato,pitiquiña potato,Solanum stenotomum,Solanaceae,plant,
currant-tomato,currant tomato,Solanum pimpinellifolium,Solanaceae,plant,
tomato,tomato,Solanum lycopersicum,Solanaceae,plant,tomatoes;ketchup;catsup;tomato paste;marinara;salsa
pepino-dulce,pepino dulce,Solanum muricatum,Solanaceae,plant,
tzimbalo,tzimbalo,Solanum caripense,Solanaceae,plant,
american-nightshade,American nightshade,Solanum americanum,Solanaceae,plant,
wonderberry,wonderberry,Solanum retroflexum,Solanaceae,plant,
garden-huckleberry,garden huckleberry (managu),Solanum scabrum,Solanaceae,plant,managu
turkey-berry,turkey berry (pea eggplant),Solanum torvum,Solanaceae,plant,pea eggplant
african-eggplant,African eggplant (garden egg),Solanum aethiopicum,Solanaceae,plant,garden egg
forest-bitterberry,forest bitterberry,Solanum anguivi,Solanaceae,plant,
gboma-eggplant,gboma eggplant,Solanum macrocarpon,Solanaceae,plant,
eggplant,eggplant,Solanum melongena,Solanaceae,plant,aubergine
bush-tomato,bush tomato (desert raisin),Solanum centrale,Solanaceae,plant,desert raisin
wolf-apple,wolf apple,Solanum lycocarpum,Solanaceae,plant,
litchi-tomato,litchi tomato,Solanum sisymbriifolium,Solanaceae,plant,
cocona,cocona,Solanum sessiliflorum,Solanaceae,plant,
tamarillo,tamarillo,Solanum betaceum,Solanaceae,plant,
water-jacket,water jacket (berries),Lycium andersonii,Solanaceae,plant,berries
goji-berry,goji berry,Lycium barbarum,Solanaceae,plant,
chinese-boxthorn,"Chinese boxthorn (goji, leaves)",Lycium chinense,Solanaceae,plant,goji
black-goji,black goji,Lycium ruthenicum,Solanaceae,plant,
chickenspike,chickenspike,Sphenoclea zeylanica,Sphenocleaceae,plant,
black-monkey-orange,black monkey orange,Strychnos madagascariensis,Loganiaceae,plant,
corky-bark-monkey-orange,corky-bark monkey orange,Strychnos cocculoides,Loganiaceae,plant,
monkey-orange,monkey orange,Strychnos spinosa,Loganiaceae,plant,
centaury,centaury,Centaurium erythraea,Gentianaceae,plant,
yellow-gentian,yellow gentian,Gentiana lutea,Gentianaceae,plant,
chirayta,chirayta,Swertia chirayita,Gentianaceae,plant,
leptadenia,leptadenia (leaves),Leptadenia hastata,Apocynaceae,plant,
utazi,utazi,Gongronema latifolium,Apocynaceae,plant,
edible-caralluma,edible caralluma,Caralluma edulis,Apocynaceae,plant,
caralluma,caralluma,Caralluma fimbriata,Apocynaceae,plant,
natal-plum,Natal plum,Carissa macrocarpa,Apocynaceae,plant,
karonda,karonda,Carissa carandas,Apocynaceae,plant,
conkerberry,conkerberry,Carissa spinarum,Apocynaceae,plant,
willughbeia,willughbeia (fruit),Willughbeia angustifolia,Apocynaceae,plant,
weda,weda (madd),Saba senegalensis,Apocynaceae,plant,madd
bungo,bungo,Saba comorensis,Apocynaceae,plant,
white-rubber-vine,white rubber vine (fruit),Landolphia owariensis,Apocynaceae,plant,
sand-apricot-vine,sand apricot-vine,Landolphia kirkii,Apocynaceae,plant,
mangaba,mangaba,Hancornia speciosa,Apocynaceae,plant,
sorva-pequena,sorva pequena,Couma utilis,Apocynaceae,plant,
sorva,sorva,Couma macrocarpa,Apocynaceae,plant,
kambroo,kambroo,Fockea edulis,Apocynaceae,plant,
green-wax-flower,green wax flower (leaves),Dregea volubilis,Apocynaceae,plant,
tonkin-jasmine,Tonkin jasmine (flowers),Telosma cordata,Apocynaceae,plant,
gurmar,gurmar,Gymnema sylvestre,Apocynaceae,plant,
ceropegia,ceropegia (tuber),Ceropegia bulbosa,Apocynaceae,plant,
hoodia,hoodia,Hoodia gordonii,Apocynaceae,plant,
showy-milkweed,showy milkweed,Asclepias speciosa,Apocynaceae,plant,
common-milkweed,"common milkweed (shoots, pods)",Asclepias syriaca,Apocynaceae,plant,
cuayote,cuayote,Gonolobus edulis,Apocynaceae,plant,
firebush,firebush (fruit),Hamelia patens,Rubiaceae,plant,
red-cinchona,red cinchona,Cinchona pubescens,Rubiaceae,plant,
quinine-bark,quinine bark,Cinchona officinalis,Rubiaceae,plant,
african-peach,African peach,Sarcocephalus latifolius,Rubiaceae,plant,
gambir,gambir,Uncaria gambir,Rubiaceae,plant,
needle-flower-tree,needle flower tree (fruit),Posoqueria latifolia,Rubiaceae,plant,
wild-medlar,wild medlar,Vangueria infausta,Rubiaceae,plant,
spanish-tamarind,Spanish tamarind,Vangueria madagascariensis,Rubiaceae,plant,
borojo,borojó,Borojoa patinoi,Rubiaceae,plant,
liberica-coffee,liberica coffee,Coffea liberica,Rubiaceae,plant,
robusta-coffee,robusta coffee,Coffea canephora,Rubiaceae,plant,
arabica-coffee,arabica coffee,Coffea arabica,Rubiaceae,plant,espresso
highland-coffee,highland coffee,Coffea stenophylla,Rubiaceae,plant,
marmelada,marmelada,Alibertia edulis,Rubiaceae,plant,
jenipapo,jenipapo,Genipa americana,Rubiaceae,plant,
gardenia,"gardenia (fruit, Sahel)",Gardenia erubescens,Rubiaceae,plant,Sahel
gardenia-2,gardenia (fruit colourant),Gardenia jasminoides,Rubiaceae,plant,
papache,papache,Randia echinocarpa,Rubiaceae,plant,
noni,noni,Morinda citrifolia,Rubiaceae,plant,
sweet-woodruff,sweet woodruff,Galium odoratum,Rubiaceae,plant,
ladys-bedstraw,lady's bedstraw (rennet),Galium verum,Rubiaceae,plant,
arabian-jasmine,Arabian jasmine (jasmine tea),Jasminum sambac,Oleaceae,plant,jasmine tea
common-jasmine,common jasmine (flavouring),Jasminum officinale,Oleaceae,plant,flavouring
lilac,lilac (flowers),Syringa vulgaris,Oleaceae,plant,
manna-ash,manna ash,Fraxinus ornus,Oleaceae,plant,
osmanthus,osmanthus (gui hua),Osmanthus fragrans,Oleaceae,plant,gui hua
olive,olive,Olea europaea,Oleaceae,plant,olive oil;olives
brahmi,brahmi,Bacopa monnieri,Plantaginaceae,plant,
sweet-broom,sweet broom,Scoparia dulcis,Plantaginaceae,plant,
rice-paddy-herb,rice paddy herb (ngò om),Limnophila aromatica,Plantaginaceae,plant,ngò om
black-psyllium,black psyllium,Plantago afra,Plantaginaceae,plant,
psyllium,psyllium,Plantago ovata,Plantaginaceae,plant,
ribwort-plantain,ribwort plantain,Plantago lanceolata,Plantaginaceae,plant,
bucks-horn-plantain,buck's-horn plantain (erba stella),Plantago coronopus,Plantaginaceae,plant,erba stella
asian-plantain,Asian plantain (oobako),Plantago asiatica,Plantaginaceae,plant,oobako
greater-plantain,greater plantain,Plantago major,Plantaginaceae,plant,
american-brooklime,American brooklime,Veronica americana,Plantaginaceae,plant,
brooklime,brooklime,Veronica beccabunga,Plantaginaceae,plant,
goatweed,goatweed (tea),Capraria biflora,Scrophulariaceae,plant,
great-mullein,great mullein (tea),Verbascum thapsus,Scrophulariaceae,plant,
aztec-sweet-herb,Aztec sweet herb,Phyla scaberrima,Verbenaceae,plant,
vervain,vervain (tea),Verbena officinalis,Verbenaceae,plant,
te-de-burro,té de burro,Aloysia polystachya,Verbenaceae,plant,
lemon-verbena,lemon verbena,Aloysia citrodora,Verbenaceae,plant,
mexican-oregano,Mexican oregano,Lippia graveolens,Verbenaceae,plant,
bushy-lippia,bushy lippia,Lippia alba,Verbenaceae,plant,
fever-tea,fever tea,Lippia javanica,Verbenaceae,plant,
black-benniseed,black benniseed (leaves),Sesamum radiatum,Pedaliaceae,plant,
false-sesame,false sesame,Ceratotheca sesamoides,Pedaliaceae,plant,
sesame,sesame,Sesamum indicum,Pedaliaceae,plant,tahini;sesame oil;sesame seeds
garlic-vine,garlic vine,Mansoa alliacea,Bignoniaceae,plant,
broken-bones-tree,broken bones tree (pods),Oroxylum indicum,Bignoniaceae,plant,
sausage-tree,sausage tree (fermented),Kigelia africana,Bignoniaceae,plant,
mangrove-trumpet-tree,mangrove trumpet tree (flowers),Dolichandrone spathacea,Bignoniaceae,plant,
cuajilote,cuajilote,Parmentiera aculeata,Bignoniaceae,plant,
candle-tree,candle tree,Parmentiera cereifera,Bignoniaceae,plant,
calabash-tree,calabash tree (seeds),Crescentia cujete,Bignoniaceae,plant,
jicaro,jícaro,Crescentia alata,Bignoniaceae,plant,
devils-claw,"devil's claw (pods, seeds)",Proboscidea parviflora,Martyniaceae,plant,
kokilaksha,kokilaksha (seed),Hygrophila auriculata,Acanthaceae,plant,
justicia,"justicia (leaves, Africa)",Justicia insularis,Acanthaceae,plant,Africa
grey-mangrove,grey mangrove (processed seeds),Avicennia marina,Acanthaceae,plant,
chinese-violet,Chinese violet (leaves),Asystasia gangetica,Acanthaceae,plant,
mushroom-plant,mushroom plant,Rungia klossii,Acanthaceae,plant,
king-of-bitters,king of bitters,Andrographis paniculata,Acanthaceae,plant,
seep-monkeyflower,seep monkeyflower (greens),Mimulus guttatus,Phrymaceae,plant,
dihuang,dihuang,Rehmannia glutinosa,Orobanchaceae,plant,
desert-cistanche,desert cistanche (rou cong rong),Cistanche deserticola,Orobanchaceae,plant,rou cong rong
azafran-de-raiz,azafrán de raíz,Escobedia grandiflora,Orobanchaceae,plant,
eyebright,eyebright,Euphrasia officinalis,Orobanchaceae,plant,
east-indian-glory-bower,East Indian glory bower (leaves),Clerodendrum glandulosum,Lamiaceae,plant,
tukhm-e-balanga,tukhm-e-balanga,Lallemantia royleana,Lamiaceae,plant,
dragons-head,dragon's head (balangu),Lallemantia iberica,Lamiaceae,plant,balangu
forskohlii,forskohlii (pickled root),Coleus barbatus,Lamiaceae,plant,pickled root
chinese-potato,Chinese potato (Hausa potato),Coleus rotundifolius,Lamiaceae,plant,Hausa potato
cuban-oregano,Cuban oregano (Indian borage),Coleus amboinicus,Lamiaceae,plant,Indian borage
white-leaved-savory,white-leaved savory (zuta),Micromeria fruticosa,Lamiaceae,plant,zuta
black-plum,black plum (Vitex),Vitex doniana,Lamiaceae,plant,Vitex
chaste-tree,chaste tree (monk's pepper),Vitex agnus-castus,Lamiaceae,plant,monk's pepper
round-leaved-mintbush,round-leaved mintbush,Prostanthera rotundifolia,Lamiaceae,plant,
chinese-artichoke,Chinese artichoke (crosnes),Stachys affinis,Lamiaceae,plant,crosnes
marsh-woundwort,marsh woundwort (tubers),Stachys palustris,Lamiaceae,plant,
greek-mountain-tea,Greek mountain tea,Sideritis raeseri,Lamiaceae,plant,
mountain-tea,mountain tea (Sideritis),Sideritis scardica,Lamiaceae,plant,Sideritis
cretan-mountain-tea,Cretan mountain tea,Sideritis syriaca,Lamiaceae,plant,
horehound,horehound,Marrubium vulgare,Lamiaceae,plant,
thumbai,thumbai (leaves),Leucas aspera,Lamiaceae,plant,
white-deadnettle,white deadnettle,Lamium album,Lamiaceae,plant,
purple-deadnettle,purple deadnettle,Lamium purpureum,Lamiaceae,plant,
shiso,shiso (perilla),Perilla frutescens,Lamiaceae,plant,perilla
vietnamese-balm,Vietnamese balm (kinh giới),Elsholtzia ciliata,Lamiaceae,plant,kinh giới
english-lavender,English lavender,Lavandula angustifolia,Lamiaceae,plant,
spanish-lavender,Spanish lavender,Lavandula stoechas,Lamiaceae,plant,
lavandin,lavandin,Lavandula × intermedia,Lamiaceae,plant,
