dish,aliases,cuisine,species,notes
dolmas,dolmades; stuffed grape leaves; dolma,Greek,Vitis vinifera; Oryza sativa; Allium cepa; Anethum graveolens; Mentha spicata; Citrus limon; Olea europaea; Pinus pinea,
baklava,,Turkish,Triticum aestivum; Juglans regia; Pistacia vera; Bos taurus; Saccharum officinarum; Apis mellifera; Cinnamomum verum,
hummus,houmous,Levantine,Cicer arietinum; Sesamum indicum; Citrus limon; Allium sativum; Olea europaea,
falafel,,Levantine,Cicer arietinum; Vicia faba; Petroselinum crispum; Coriandrum sativum; Allium sativum; Cuminum cyminum; Allium cepa; Triticum aestivum; Saccharomyces cerevisiae; Sesamum indicum; Solanum lycopersicum,
baba ganoush,baba ghanoush; moutabal,Levantine,Solanum melongena; Sesamum indicum; Citrus limon; Allium sativum; Olea europaea,
tabbouleh,tabouli,Levantine,Petroselinum crispum; Triticum aestivum; Solanum lycopersicum; Mentha spicata; Allium cepa; Citrus limon; Olea europaea,
fattoush,,Levantine,Triticum aestivum; Saccharomyces cerevisiae; Lactuca sativa; Solanum lycopersicum; Cucumis sativus; Allium cepa; Petroselinum crispum; Mentha spicata; Rhus coriaria; Citrus limon; Olea europaea,
shakshuka,shakshouka,North African,Gallus gallus; Solanum lycopersicum; Capsicum annuum; Allium cepa; Allium sativum; Cuminum cyminum; Olea europaea,
kebab,kebabs; kabob; shish kebab; kofta; kofte,Middle Eastern,Ovis aries; Bos taurus; Allium cepa; Petroselinum crispum; Cuminum cyminum; Triticum aestivum; Saccharomyces cerevisiae; Solanum lycopersicum,
chicken shawarma,,Levantine,Gallus gallus; Allium sativum; Citrus limon; Cuminum cyminum; Coriandrum sativum; Capsicum annuum; Curcuma longa; Cinnamomum verum; Triticum aestivum; Saccharomyces cerevisiae; Bos taurus; Cucumis sativus; Solanum lycopersicum,
manakish,man'oushe; zaatar bread,Levantine,Triticum aestivum; Saccharomyces cerevisiae; Origanum syriacum; Sesamum indicum; Rhus coriaria; Olea europaea,
kibbeh,kibbe,Levantine,Triticum aestivum; Ovis aries; Bos taurus; Allium cepa; Pinus pinea; Cinnamomum verum; Pimenta dioica,
mujadara,mujaddara,Levantine,Lens culinaris; Oryza sativa; Allium cepa; Olea europaea; Cuminum cyminum,
pita bread,pita; pitta; flatbread,Middle Eastern,Triticum aestivum; Saccharomyces cerevisiae,
labneh,,Levantine,Bos taurus; Olea europaea; Origanum syriacum,
couscous,moroccan couscous; couscous royale,Moroccan,Triticum turgidum; Cicer arietinum; Daucus carota; Cucurbita pepo; Allium cepa; Brassica rapa; Ovis aries; Gallus gallus; Curcuma longa; Cinnamomum verum; Cuminum cyminum,
tagine,tajine; chicken tagine; lamb tagine,Moroccan,Gallus gallus; Ovis aries; Allium cepa; Allium sativum; Zingiber officinale; Curcuma longa; Cinnamomum verum; Cuminum cyminum; Olea europaea; Citrus limon; Prunus armeniaca; Prunus dulcis; Coriandrum sativum,
harira,,Moroccan,Ovis aries; Lens culinaris; Cicer arietinum; Solanum lycopersicum; Allium cepa; Apium graveolens; Coriandrum sativum; Petroselinum crispum; Zingiber officinale; Curcuma longa; Cinnamomum verum; Triticum aestivum,
mint tea,moroccan mint tea,Moroccan,Camellia sinensis; Mentha spicata; Saccharum officinarum,
turkish coffee,,Turkish,Coffea arabica; Saccharum officinarum; Elettaria cardamomum,
turkish delight,lokum,Turkish,Saccharum officinarum; Zea mays; Rosa damascena; Pistacia vera,
pide,lahmacun; turkish pizza,Turkish,Triticum aestivum; Saccharomyces cerevisiae; Ovis aries; Bos taurus; Solanum lycopersicum; Allium cepa; Petroselinum crispum; Capsicum annuum,
menemen,,Turkish,Gallus gallus; Solanum lycopersicum; Capsicum annuum; Allium cepa; Olea europaea,
koshari,kushari,Egyptian,Oryza sativa; Lens culinaris; Triticum turgidum; Cicer arietinum; Solanum lycopersicum; Allium cepa; Allium sativum; Cuminum cyminum,
ful medames,foul; ful,Egyptian,Vicia faba; Olea europaea; Citrus limon; Allium sativum; Cuminum cyminum; Petroselinum crispum; Solanum lycopersicum,
persian rice,tahdig; chelow; polo,Persian,Oryza sativa; Bos taurus; Crocus sativus,
fesenjan,fesenjoon,Persian,Gallus gallus; Juglans regia; Punica granatum; Allium cepa; Saccharum officinarum,
ghormeh sabzi,,Persian,Ovis aries; Phaseolus vulgaris; Petroselinum crispum; Coriandrum sativum; Trigonella foenum-graecum; Allium ampeloprasum; Allium cepa; Citrus limon; Curcuma longa,
kabuli pulao,afghan pulao; pilaf; pilau; rice pilaf,Afghan,Oryza sativa; Ovis aries; Daucus carota; Vitis vinifera; Allium cepa; Cuminum cyminum; Elettaria cardamomum,
mansaf,,Jordanian,Ovis aries; Bos taurus; Oryza sativa; Prunus dulcis; Pinus pinea; Triticum aestivum; Saccharomyces cerevisiae,
kabsa,machboos; mandi,Arabian,Oryza sativa; Gallus gallus; Ovis aries; Solanum lycopersicum; Allium cepa; Allium sativum; Elettaria cardamomum; Syzygium aromaticum; Cinnamomum verum; Laurus nobilis; Citrus limon,
butter chicken,murgh makhani,Indian,Gallus gallus; Bos taurus; Solanum lycopersicum; Allium sativum; Zingiber officinale; Capsicum annuum; Trigonella foenum-graecum; Cuminum cyminum; Coriandrum sativum; Curcuma longa; Elettaria cardamomum,
chicken curry,curry chicken; indian curry,Indian,Gallus gallus; Allium cepa; Solanum lycopersicum; Allium sativum; Zingiber officinale; Capsicum annuum; Curcuma longa; Cuminum cyminum; Coriandrum sativum,
lamb curry,mutton curry; rogan josh; goat curry,Indian,Ovis aries; Capra hircus; Allium cepa; Allium sativum; Zingiber officinale; Bos taurus; Capsicum annuum; Curcuma longa; Cuminum cyminum; Coriandrum sativum; Elettaria cardamomum; Cinnamomum verum; Syzygium aromaticum,
chana masala,chole; chickpea curry,Indian,Cicer arietinum; Solanum lycopersicum; Allium cepa; Allium sativum; Zingiber officinale; Capsicum annuum; Cuminum cyminum; Coriandrum sativum; Curcuma longa,
dal,daal; dhal; dal tadka; lentil curry; dal makhani,Indian,Lens culinaris; Allium cepa; Allium sativum; Zingiber officinale; Solanum lycopersicum; Cuminum cyminum; Curcuma longa; Capsicum annuum; Brassica juncea; Coriandrum sativum,
saag paneer,palak paneer; saag,Indian,Spinacia oleracea; Brassica juncea; Bos taurus; Allium cepa; Allium sativum; Zingiber officinale; Capsicum annuum; Cuminum cyminum; Curcuma longa,
aloo gobi,,Indian,Solanum tuberosum; Brassica oleracea; Allium cepa; Solanum lycopersicum; Zingiber officinale; Allium sativum; Curcuma longa; Cuminum cyminum; Coriandrum sativum; Capsicum annuum,
biryani,chicken biryani; lamb biryani; hyderabadi biryani,Indian,Oryza sativa; Gallus gallus; Ovis aries; Allium cepa; Bos taurus; Allium sativum; Zingiber officinale; Crocus sativus; Elettaria cardamomum; Cinnamomum verum; Syzygium aromaticum; Laurus nobilis; Mentha spicata; Coriandrum sativum; Capsicum annuum,
samosa,samosas,Indian,Triticum aestivum; Solanum tuberosum; Pisum sativum; Allium cepa; Cuminum cyminum; Coriandrum sativum; Capsicum annuum; Zingiber officinale,
pakora,pakoras; bhaji; onion bhaji,Indian,Cicer arietinum; Allium cepa; Solanum tuberosum; Spinacia oleracea; Capsicum annuum; Curcuma longa; Cuminum cyminum; Coriandrum sativum,
naan,naan bread; garlic naan,Indian,Triticum aestivum; Saccharomyces cerevisiae; Bos taurus; Allium sativum,
roti,chapati; paratha,Indian,Triticum aestivum; Bos taurus,
dosa,masala dosa,South Indian,Oryza sativa; Vigna mungo; Solanum tuberosum; Allium cepa; Brassica juncea; Murraya koenigii; Curcuma longa; Capsicum annuum; Cocos nucifera,
idli,idli sambar,South Indian,Oryza sativa; Vigna mungo; Cajanus cajan; Tamarindus indica; Solanum lycopersicum; Allium cepa; Brassica juncea; Murraya koenigii; Capsicum annuum; Ferula assa-foetida,
sambar,,South Indian,Cajanus cajan; Tamarindus indica; Solanum lycopersicum; Allium cepa; Brassica juncea; Murraya koenigii; Capsicum annuum; Ferula assa-foetida; Trigonella foenum-graecum,
vada,medu vada,South Indian,Vigna mungo; Capsicum annuum; Zingiber officinale; Murraya koenigii; Piper nigrum,
tandoori chicken,,Indian,Gallus gallus; Bos taurus; Citrus limon; Allium sativum; Zingiber officinale; Capsicum annuum; Cuminum cyminum; Coriandrum sativum; Curcuma longa,
vindaloo,pork vindaloo,Goan,Sus scrofa; Capsicum annuum; Allium sativum; Zingiber officinale; Cuminum cyminum; Cinnamomum verum; Syzygium aromaticum; Brassica nigra; Curcuma longa; Allium cepa,
korma,chicken korma,Indian,Gallus gallus; Bos taurus; Prunus dulcis; Anacardium occidentale; Allium cepa; Allium sativum; Zingiber officinale; Elettaria cardamomum; Coriandrum sativum; Cuminum cyminum,
kheer,rice pudding; payasam,Indian,Oryza sativa; Bos taurus; Saccharum officinarum; Elettaria cardamomum; Pistacia vera; Prunus dulcis,
gulab jamun,,Indian,Bos taurus; Triticum aestivum; Saccharum officinarum; Elettaria cardamomum; Rosa damascena,
lassi,mango lassi,Indian,Bos taurus; Mangifera indica; Saccharum officinarum; Elettaria cardamomum,
chai,masala chai; chai latte,Indian,Camellia sinensis; Bos taurus; Saccharum officinarum; Elettaria cardamomum; Zingiber officinale; Cinnamomum verum; Syzygium aromaticum; Piper nigrum,
raita,,Indian,Bos taurus; Cucumis sativus; Cuminum cyminum; Mentha spicata; Coriandrum sativum,
pani puri,golgappa; puchka; chaat,Indian,Triticum aestivum; Solanum tuberosum; Cicer arietinum; Tamarindus indica; Mentha spicata; Coriandrum sativum; Capsicum annuum; Cuminum cyminum,
bhel puri,,Indian,Oryza sativa; Allium cepa; Solanum lycopersicum; Solanum tuberosum; Tamarindus indica; Mentha spicata; Coriandrum sativum; Capsicum annuum; Cicer arietinum,
paneer tikka,,Indian,Bos taurus; Capsicum annuum; Allium cepa; Solanum lycopersicum; Zingiber officinale; Allium sativum; Cuminum cyminum; Coriandrum sativum; Curcuma longa,
rajma,rajma chawal,Indian,Phaseolus vulgaris; Oryza sativa; Allium cepa; Solanum lycopersicum; Allium sativum; Zingiber officinale; Cuminum cyminum; Coriandrum sativum; Curcuma longa; Capsicum annuum,
khichdi,khichuri; kitchari,Indian,Oryza sativa; Vigna radiata; Curcuma longa; Cuminum cyminum; Zingiber officinale; Bos taurus,
pav bhaji,,Indian,Triticum aestivum; Saccharomyces cerevisiae; Solanum tuberosum; Solanum lycopersicum; Allium cepa; Pisum sativum; Brassica oleracea; Bos taurus; Capsicum annuum; Cuminum cyminum; Coriandrum sativum; Allium sativum; Citrus limon,
sri lankan curry,sri lankan fish curry,Sri Lankan,Thunnus albacares; Cocos nucifera; Allium cepa; Allium sativum; Zingiber officinale; Murraya koenigii; Capsicum annuum; Curcuma longa; Trigonella foenum-graecum; Tamarindus indica; Cinnamomum verum,
hoppers,appam; egg hopper,Sri Lankan,Oryza sativa; Cocos nucifera; Saccharomyces cerevisiae; Gallus gallus,
momo,momos,Nepali,Triticum aestivum; Gallus gallus; Bubalus bubalis; Allium cepa; Allium sativum; Zingiber officinale; Coriandrum sativum; Solanum lycopersicum; Zanthoxylum armatum,
dal bhat,,Nepali,Lens culinaris; Oryza sativa; Spinacia oleracea; Curcuma longa; Cuminum cyminum; Allium sativum; Zingiber officinale,
fried rice,egg fried rice; chicken fried rice; yangzhou fried rice,Chinese,Oryza sativa; Gallus gallus; Allium fistulosum; Pisum sativum; Daucus carota; Glycine max; Aspergillus sojae; Triticum aestivum; Sus scrofa; Sesamum indicum,
chow mein,lo mein; stir-fried noodles,Chinese,Triticum aestivum; Gallus gallus; Brassica oleracea; Daucus carota; Allium fistulosum; Glycine max; Aspergillus sojae; Vigna radiata; Sesamum indicum,
kung pao chicken,gong bao chicken,Chinese,Gallus gallus; Arachis hypogaea; Capsicum annuum; Zanthoxylum bungeanum; Allium fistulosum; Allium sativum; Zingiber officinale; Glycine max; Aspergillus sojae; Triticum aestivum; Oryza sativa,
general tso's chicken,general tso chicken; orange chicken; sesame chicken,Chinese-American,Gallus gallus; Triticum aestivum; Zea mays; Glycine max; Aspergillus sojae; Saccharum officinarum; Allium sativum; Zingiber officinale; Capsicum annuum; Citrus sinensis; Sesamum indicum; Brassica oleracea; Oryza sativa,
sweet and sour pork,sweet and sour chicken,Chinese,Sus scrofa; Ananas comosus; Capsicum annuum; Allium cepa; Solanum lycopersicum; Saccharum officinarum; Triticum aestivum; Zea mays; Gallus gallus; Glycine max; Aspergillus sojae,
mapo tofu,ma po tofu,Sichuan,Glycine max; Sus scrofa; Bos taurus; Capsicum annuum; Zanthoxylum bungeanum; Allium sativum; Zingiber officinale; Allium fistulosum; Vicia faba; Aspergillus oryzae; Oryza sativa,
dumplings,jiaozi; potstickers; gyoza; pork dumplings; wontons,Chinese,Triticum aestivum; Sus scrofa; Allium tuberosum; Brassica rapa; Zingiber officinale; Allium fistulosum; Glycine max; Aspergillus sojae; Sesamum indicum,
dim sum,har gow; siu mai; shumai; char siu bao; bao,Cantonese,Penaeus vannamei; Sus scrofa; Triticum aestivum; Oryza sativa; Phyllostachys edulis; Lentinula edodes; Allium fistulosum; Zingiber officinale; Glycine max; Aspergillus sojae; Sesamum indicum,
peking duck,beijing duck; roast duck,Chinese,Anas platyrhynchos; Triticum aestivum; Cucumis sativus; Allium fistulosum; Glycine max; Saccharum officinarum,
hot pot,hotpot; huoguo; shabu shabu,Chinese,Bos taurus; Ovis aries; Brassica rapa; Glycine max; Flammulina filiformis; Lentinula edodes; Triticum aestivum; Capsicum annuum; Zanthoxylum bungeanum; Allium sativum; Allium fistulosum; Sesamum indicum,
wonton soup,wonton noodle soup,Cantonese,Triticum aestivum; Gallus gallus; Sus scrofa; Penaeus vannamei; Allium fistulosum; Zingiber officinale; Glycine max; Aspergillus sojae; Brassica rapa,
hot and sour soup,,Chinese,Auricularia heimuer; Lentinula edodes; Phyllostachys edulis; Glycine max; Gallus gallus; Sus scrofa; Capsicum annuum; Oryza sativa; Zea mays; Allium fistulosum; Zingiber officinale; Triticum aestivum; Aspergillus sojae,
egg drop soup,,Chinese,Gallus gallus; Allium fistulosum; Zea mays; Zingiber officinale,
congee,jook; rice porridge; zhou,Chinese,Oryza sativa; Gallus gallus; Sus scrofa; Zingiber officinale; Allium fistulosum; Glycine max; Aspergillus sojae; Triticum aestivum,
char siu,chinese bbq pork; cha siu,Cantonese,Sus scrofa; Apis mellifera; Glycine max; Aspergillus sojae; Triticum aestivum; Allium sativum; Illicium verum; Cinnamomum verum; Syzygium aromaticum; Foeniculum vulgare; Zanthoxylum bungeanum; Oryza sativa,
beef and broccoli,broccoli beef,Chinese-American,Bos taurus; Brassica oleracea; Allium sativum; Zingiber officinale; Glycine max; Aspergillus sojae; Triticum aestivum; Zea mays; Oryza sativa,
dan dan noodles,dandan mian,Sichuan,Triticum aestivum; Sus scrofa; Sesamum indicum; Capsicum annuum; Zanthoxylum bungeanum; Allium sativum; Allium fistulosum; Glycine max; Aspergillus sojae; Brassica juncea; Arachis hypogaea,
scallion pancake,cong you bing; green onion pancake,Chinese,Triticum aestivum; Allium fistulosum; Sesamum indicum,
xiaolongbao,soup dumplings; xiao long bao,Shanghai,Triticum aestivum; Sus scrofa; Zingiber officinale; Allium fistulosum; Glycine max; Aspergillus sojae,
twice cooked pork,hui guo rou,Sichuan,Sus scrofa; Allium ampeloprasum; Vicia faba; Capsicum annuum; Aspergillus oryzae; Glycine max; Allium sativum; Zingiber officinale; Oryza sativa,
ma la xiang guo,dry pot; mala,Sichuan,Capsicum annuum; Zanthoxylum bungeanum; Bos taurus; Nelumbo nucifera; Solanum tuberosum; Auricularia heimuer; Allium sativum; Zingiber officinale; Glycine max; Allium fistulosum,
chinese broccoli with oyster sauce,gai lan; kai lan,Cantonese,Brassica oleracea; Magallana gigas; Glycine max; Aspergillus sojae; Triticum aestivum; Allium sativum,
tea eggs,,Chinese,Gallus gallus; Camellia sinensis; Glycine max; Aspergillus sojae; Triticum aestivum; Illicium verum; Cinnamomum verum,
mooncake,mooncakes,Chinese,Triticum aestivum; Nelumbo nucifera; Vigna angularis; Anas platyrhynchos; Saccharum officinarum,
bubble tea,boba; milk tea; boba tea,Taiwanese,Camellia sinensis; Bos taurus; Manihot esculenta; Saccharum officinarum,
beef noodle soup,taiwanese beef noodle soup; niu rou mian,Taiwanese,Bos taurus; Triticum aestivum; Glycine max; Aspergillus sojae; Illicium verum; Zingiber officinale; Allium sativum; Allium fistulosum; Solanum lycopersicum; Brassica juncea; Capsicum annuum; Brassica rapa,
zongzi,sticky rice dumplings,Chinese,Oryza sativa; Sus scrofa; Vigna radiata; Lentinula edodes; Phyllostachys edulis,
stir fry,vegetable stir fry; stir-fry,Chinese,Brassica oleracea; Daucus carota; Capsicum annuum; Allium cepa; Allium sativum; Zingiber officinale; Glycine max; Aspergillus sojae; Triticum aestivum; Sesamum indicum; Oryza sativa,
egg roll,egg rolls; fried spring rolls,Chinese-American,Triticum aestivum; Gallus gallus; Brassica oleracea; Daucus carota; Sus scrofa; Allium fistulosum; Zingiber officinale; Glycine max; Aspergillus sojae,
sushi,nigiri; sushi platter; maki; california roll; sushi rolls,Japanese,Oryza sativa; Pyropia yezoensis; Thunnus albacares; Salmo salar; Seriola quinqueradiata; Penaeus vannamei; Cucumis sativus; Persea americana; Eutrema japonicum; Glycine max; Aspergillus sojae; Triticum aestivum; Zingiber officinale; Sesamum indicum,
sashimi,,Japanese,Thunnus albacares; Salmo salar; Seriola quinqueradiata; Pagrus major; Todarodes pacificus; Mesocentrotus nudus; Eutrema japonicum; Glycine max; Aspergillus sojae; Triticum aestivum; Raphanus sativus; Perilla frutescens,
ramen,tonkotsu ramen; shoyu ramen; miso ramen,Japanese,Triticum aestivum; Sus scrofa; Gallus gallus; Allium fistulosum; Pyropia yezoensis; Saccharina japonica; Glycine max; Aspergillus oryzae; Aspergillus sojae; Allium sativum; Zingiber officinale; Phyllostachys edulis; Auricularia heimuer; Sesamum indicum,
miso soup,misoshiru,Japanese,Glycine max; Aspergillus oryzae; Saccharina japonica; Katsuwonus pelamis; Undaria pinnatifida; Allium fistulosum,
tempura,shrimp tempura; vegetable tempura,Japanese,Penaeus vannamei; Triticum aestivum; Gallus gallus; Cucurbita maxima; Ipomoea batatas; Perilla frutescens; Solanum melongena; Saccharina japonica; Katsuwonus pelamis; Glycine max; Aspergillus sojae; Raphanus sativus,
teriyaki,chicken teriyaki; teriyaki chicken; salmon teriyaki,Japanese,Gallus gallus; Glycine max; Aspergillus sojae; Triticum aestivum; Oryza sativa; Aspergillus oryzae; Saccharum officinarum; Zingiber officinale; Allium fistulosum; Sesamum indicum,
tonkatsu,katsu; chicken katsu; katsu curry,Japanese,Sus scrofa; Triticum aestivum; Gallus gallus; Brassica oleracea; Oryza sativa; Solanum lycopersicum; Malus domestica,
japanese curry,curry rice; kare raisu,Japanese,Oryza sativa; Gallus gallus; Bos taurus; Solanum tuberosum; Daucus carota; Allium cepa; Triticum aestivum; Curcuma longa; Cuminum cyminum; Coriandrum sativum; Allium sativum; Zingiber officinale; Malus domestica,
okonomiyaki,,Japanese,Triticum aestivum; Brassica oleracea; Gallus gallus; Sus scrofa; Allium fistulosum; Ulva prolifera; Katsuwonus pelamis; Glycine max; Aspergillus sojae; Solanum lycopersicum,
takoyaki,,Japanese,Octopus vulgaris; Triticum aestivum; Gallus gallus; Allium fistulosum; Ulva prolifera; Katsuwonus pelamis; Saccharina japonica; Glycine max; Aspergillus sojae,
yakitori,,Japanese,Gallus gallus; Allium fistulosum; Glycine max; Aspergillus sojae; Triticum aestivum; Oryza sativa; Aspergillus oryzae; Saccharum officinarum,
udon,kitsune udon; tempura udon; udon noodles,Japanese,Triticum aestivum; Saccharina japonica; Katsuwonus pelamis; Glycine max; Aspergillus sojae; Allium fistulosum,
soba,zaru soba; soba noodles,Japanese,Fagopyrum esculentum; Triticum aestivum; Saccharina japonica; Katsuwonus pelamis; Glycine max; Aspergillus sojae; Allium fistulosum; Eutrema japonicum; Pyropia yezoensis,
onigiri,rice balls; omusubi,Japanese,Oryza sativa; Pyropia yezoensis; Salmo salar; Prunus mume; Katsuwonus pelamis,
gyudon,beef bowl,Japanese,Bos taurus; Allium cepa; Oryza sativa; Glycine max; Aspergillus sojae; Triticum aestivum; Aspergillus oryzae; Saccharum officinarum; Zingiber officinale,
oyakodon,,Japanese,Gallus gallus; Allium cepa; Oryza sativa; Glycine max; Aspergillus sojae; Triticum aestivum; Aspergillus oryzae; Saccharina japonica; Katsuwonus pelamis,
unagi don,unadon; grilled eel,Japanese,Anguilla japonica; Oryza sativa; Glycine max; Aspergillus sojae; Triticum aestivum; Aspergillus oryzae; Saccharum officinarum; Zanthoxylum piperitum,
chirashi,chirashi bowl; kaisendon; poke bowl,Japanese,Oryza sativa; Thunnus albacares; Salmo salar; Mesocentrotus nudus; Mizuhopecten yessoensis; Pyropia yezoensis; Cucumis sativus; Persea americana; Glycine max; Aspergillus sojae; Triticum aestivum; Sesamum indicum,
natto,natto rice,Japanese,Glycine max; Oryza sativa; Allium fistulosum; Sinapis alba; Aspergillus sojae; Triticum aestivum,
edamame,,Japanese,Glycine max,
agedashi tofu,,Japanese,Glycine max; Solanum tuberosum; Saccharina japonica; Katsuwonus pelamis; Aspergillus sojae; Triticum aestivum; Raphanus sativus; Allium fistulosum,
chawanmushi,,Japanese,Gallus gallus; Saccharina japonica; Katsuwonus pelamis; Penaeus vannamei; Lentinula edodes; Ginkgo biloba; Cryptotaenia japonica; Glycine max; Aspergillus sojae; Triticum aestivum,
sukiyaki,,Japanese,Bos taurus; Glycine max; Aspergillus sojae; Triticum aestivum; Aspergillus oryzae; Saccharum officinarum; Brassica rapa; Allium fistulosum; Flammulina filiformis; Lentinula edodes; Gallus gallus,
oden,,Japanese,Raphanus sativus; Gallus gallus; Saccharina japonica; Katsuwonus pelamis; Gadus chalcogrammus; Glycine max; Aspergillus sojae; Triticum aestivum; Sinapis alba; Solanum tuberosum,
izakaya crawl,izakaya,Japanese,Gallus gallus; Bos taurus; Glycine max; Aspergillus oryzae; Saccharina japonica; Katsuwonus pelamis; Gadus chalcogrammus; Pyropia yezoensis; Oryza sativa; Mesocentrotus nudus; Todarodes pacificus; Sus scrofa; Allium fistulosum; Raphanus sativus; Perilla frutescens; Hordeum vulgare; Saccharomyces pastorianus; Humulus lupulus,
matcha latte,matcha,Japanese,Camellia sinensis; Bos taurus; Saccharum officinarum,
mochi,daifuku; mochi ice cream,Japanese,Oryza sativa; Vigna angularis; Saccharum officinarum; Bos taurus,
dorayaki,,Japanese,Triticum aestivum; Gallus gallus; Apis mellifera; Vigna angularis; Saccharum officinarum,
sake,nihonshu,Japanese,Oryza sativa; Aspergillus oryzae; Saccharomyces cerevisiae,
kimchi,kimchee; baechu kimchi,Korean,Brassica rapa; Capsicum annuum; Allium sativum; Zingiber officinale; Allium fistulosum; Raphanus sativus; Stolephorus indicus; Penaeus monodon; Oryza sativa,
bibimbap,,Korean,Oryza sativa; Gallus gallus; Bos taurus; Spinacia oleracea; Vigna radiata; Cucurbita pepo; Daucus carota; Lentinula edodes; Pteridium aquilinum; Capsicum annuum; Glycine max; Aspergillus oryzae; Sesamum indicum; Allium sativum,
bulgogi,,Korean,Bos taurus; Glycine max; Aspergillus sojae; Triticum aestivum; Pyrus communis; Allium sativum; Allium fistulosum; Sesamum indicum; Saccharum officinarum; Oryza sativa; Lactuca sativa,
korean fried chicken,yangnyeom chicken,Korean,Gallus gallus; Triticum aestivum; Zea mays; Solanum tuberosum; Capsicum annuum; Glycine max; Aspergillus oryzae; Allium sativum; Zingiber officinale; Apis mellifera; Sesamum indicum,
japchae,,Korean,Ipomoea batatas; Bos taurus; Spinacia oleracea; Daucus carota; Allium cepa; Lentinula edodes; Auricularia heimuer; Gallus gallus; Glycine max; Aspergillus sojae; Triticum aestivum; Sesamum indicum; Allium sativum,
tteokbokki,ddeokbokki; topokki,Korean,Oryza sativa; Capsicum annuum; Glycine max; Aspergillus oryzae; Allium fistulosum; Gadus chalcogrammus; Saccharum officinarum; Gallus gallus; Allium sativum,
kimchi jjigae,kimchi stew,Korean,Brassica rapa; Capsicum annuum; Allium sativum; Sus scrofa; Glycine max; Allium fistulosum; Allium cepa; Engraulis encrasicolus; Saccharina japonica,
sundubu jjigae,soft tofu stew; soondubu,Korean,Glycine max; Ruditapes philippinarum; Capsicum annuum; Gallus gallus; Allium sativum; Allium fistulosum; Allium cepa; Engraulis encrasicolus; Saccharina japonica; Sus scrofa,
doenjang jjigae,,Korean,Glycine max; Aspergillus oryzae; Cucurbita pepo; Solanum tuberosum; Allium cepa; Capsicum annuum; Allium sativum; Engraulis encrasicolus; Saccharina japonica,
samgyeopsal,korean bbq; kbbq; galbi; kalbi,Korean,Sus scrofa; Bos taurus; Lactuca sativa; Perilla frutescens; Allium sativum; Capsicum annuum; Glycine max; Aspergillus oryzae; Sesamum indicum; Allium fistulosum; Oryza sativa,
samgyetang,ginseng chicken soup,Korean,Gallus gallus; Oryza sativa; Panax ginseng; Ziziphus jujuba; Allium sativum; Allium fistulosum; Ginkgo biloba; Castanea sativa,
naengmyeon,cold noodles,Korean,Fagopyrum esculentum; Ipomoea batatas; Bos taurus; Cucumis sativus; Pyrus communis; Gallus gallus; Sinapis alba; Raphanus sativus; Capsicum annuum,
gimbap,kimbap,Korean,Oryza sativa; Pyropia yezoensis; Gallus gallus; Daucus carota; Spinacia oleracea; Raphanus sativus; Bos taurus; Sesamum indicum; Cucumis sativus,
pajeon,haemul pajeon; seafood pancake; kimchi pancake,Korean,Triticum aestivum; Allium fistulosum; Loligo vulgaris; Penaeus vannamei; Gallus gallus; Glycine max; Aspergillus sojae; Capsicum annuum,
bingsu,patbingsu,Korean,Bos taurus; Vigna angularis; Saccharum officinarum; Oryza sativa; Fragaria × ananassa; Mangifera indica,
soju,,Korean,Oryza sativa; Ipomoea batatas; Saccharomyces cerevisiae; Manihot esculenta,
makgeolli,,Korean,Oryza sativa; Saccharomyces cerevisiae; Aspergillus oryzae,
pad thai,phad thai,Thai,Oryza sativa; Penaeus vannamei; Gallus gallus; Glycine max; Vigna radiata; Allium tuberosum; Arachis hypogaea; Tamarindus indica; Stolephorus indicus; Saccharum officinarum; Allium sativum; Citrus aurantiifolia; Capsicum annuum,
green curry,thai green curry; gaeng keow wan,Thai,Gallus gallus; Cocos nucifera; Capsicum annuum; Alpinia galanga; Cymbopogon citratus; Citrus hystrix; Allium sativum; Penaeus monodon; Stolephorus indicus; Ocimum tenuiflorum; Solanum melongena; Ocimum basilicum; Saccharum officinarum; Oryza sativa; Coriandrum sativum; Cuminum cyminum; Allium cepa,
red curry,thai red curry; panang curry; massaman curry,Thai,Gallus gallus; Bos taurus; Cocos nucifera; Capsicum annuum; Alpinia galanga; Cymbopogon citratus; Citrus hystrix; Allium sativum; Penaeus monodon; Stolephorus indicus; Ocimum basilicum; Saccharum officinarum; Oryza sativa; Arachis hypogaea; Solanum tuberosum; Allium cepa; Coriandrum sativum; Cuminum cyminum,
tom yum,tom yum goong; tom yum soup,Thai,Penaeus vannamei; Cymbopogon citratus; Alpinia galanga; Citrus hystrix; Capsicum annuum; Citrus aurantiifolia; Stolephorus indicus; Volvariella volvacea; Solanum lycopersicum; Coriandrum sativum; Allium cepa,
tom kha gai,tom kha,Thai,Gallus gallus; Cocos nucifera; Alpinia galanga; Cymbopogon citratus; Citrus hystrix; Capsicum annuum; Citrus aurantiifolia; Stolephorus indicus; Volvariella volvacea; Coriandrum sativum,
som tam,papaya salad; green papaya salad,Thai,Carica papaya; Capsicum annuum; Allium sativum; Arachis hypogaea; Stolephorus indicus; Citrus aurantiifolia; Saccharum officinarum; Solanum lycopersicum; Vigna unguiculata; Penaeus vannamei,
