species,common_name,genus,family,clade,group
Hypophthalmichthys nobilis,bighead carp,Hypophthalmichthys,Xenocyprididae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Mylopharyngodon piceus,black carp,Mylopharyngodon,Xenocyprididae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Megalobrama amblycephala,Wuchang bream,Megalobrama,Xenocyprididae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Labeo rohita,rohu,Labeo,Cyprinidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Labeo catla,catla,Labeo,Cyprinidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Cirrhinus cirrhosus,mrigal,Cirrhinus,Cyprinidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Cirrhinus molitorella,mud carp,Cirrhinus,Cyprinidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Barbonymus gonionotus,silver barb,Barbonymus,Cyprinidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Barbus barbus,barbel,Barbus,Cyprinidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Tor putitora,golden mahseer,Tor,Cyprinidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Tor tambroides,Malaysian mahseer (empurau),Tor,Cyprinidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Tinca tinca,tench,Tinca,Tincidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Abramis brama,common bream,Abramis,Leuciscidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Rutilus rutilus,roach,Rutilus,Leuciscidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Squalius cephalus,chub,Squalius,Leuciscidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Leuciscus idus,ide,Leuciscus,Leuciscidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Elopichthys bambusa,yellowcheek,Elopichthys,Xenocyprididae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Misgurnus anguillicaudatus,pond loach (dojo),Misgurnus,Cobitidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Catostomus commersonii,white sucker,Catostomus,Catostomidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Ictiobus bubalus,smallmouth buffalo,Ictiobus,Catostomidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Pangasianodon hypophthalmus,striped catfish (basa/swai),Pangasianodon,Pangasiidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Pangasius bocourti,basa,Pangasius,Pangasiidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Pangasianodon gigas,Mekong giant catfish,Pangasianodon,Pangasiidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Ictalurus punctatus,channel catfish,Ictalurus,Ictaluridae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Ictalurus furcatus,blue catfish,Ictalurus,Ictaluridae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Ameiurus nebulosus,brown bullhead,Ameiurus,Ictaluridae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Pylodictis olivaris,flathead catfish,Pylodictis,Ictaluridae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Silurus glanis,wels catfish,Silurus,Siluridae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Silurus asotus,Amur catfish,Silurus,Siluridae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Wallago attu,wallago,Wallago,Siluridae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Clarias gariepinus,African sharptooth catfish,Clarias,Clariidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Clarias batrachus,walking catfish,Clarias,Clariidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Clarias macrocephalus,broadhead catfish,Clarias,Clariidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Heterobranchus longifilis,vundu,Heterobranchus,Clariidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Hemibagrus nemurus,Asian redtail catfish,Hemibagrus,Bagridae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Bagrus bajad,bayad,Bagrus,Bagridae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Chrysichthys nigrodigitatus,bagrid catfish (West Africa),Chrysichthys,Claroteidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Synodontis schall,Nile squeaker,Synodontis,Mochokidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Pseudoplatystoma corruscans,surubí,Pseudoplatystoma,Pimelodidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Pseudoplatystoma fasciatum,barred sorubim,Pseudoplatystoma,Pimelodidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Brachyplatystoma rousseauxii,dourada,Brachyplatystoma,Pimelodidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Brachyplatystoma filamentosum,piraíba,Brachyplatystoma,Pimelodidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Phractocephalus hemioliopterus,redtail catfish,Phractocephalus,Pimelodidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Rhamdia quelen,South American catfish (jundiá),Rhamdia,Heptapteridae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Netuma thalassina,giant sea catfish,Netuma,Ariidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Bagre marinus,gafftopsail catfish,Bagre,Ariidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Genidens barbus,white sea catfish,Genidens,Ariidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Tandanus tandanus,eel-tailed catfish,Tandanus,Plotosidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Bagarius yarrelli,goonch,Bagarius,Sisoridae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Pterygoplichthys pardalis,Amazon sailfin catfish,Pterygoplichthys,Loricariidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Malapterurus electricus,electric catfish,Malapterurus,Malapteruridae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Colossoma macropomum,tambaqui,Colossoma,Serrasalmidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Piaractus brachypomus,pirapitinga,Piaractus,Serrasalmidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Piaractus mesopotamicus,pacu,Piaractus,Serrasalmidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Pygocentrus nattereri,red-bellied piranha,Pygocentrus,Serrasalmidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Prochilodus lineatus,sábalo (curimba),Prochilodus,Prochilodontidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Prochilodus nigricans,curimatã,Prochilodus,Prochilodontidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Brycon amazonicus,matrinxã,Brycon,Bryconidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Salminus brasiliensis,dorado,Salminus,Bryconidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Hoplias malabaricus,trahira,Hoplias,Erythrinidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Leporinus obtusidens,piapara,Leporinus,Anostomidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Hydrocynus vittatus,tigerfish,Hydrocynus,Alestidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Distichodus rostratus,grass-eater,Distichodus,Distichodontidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Citharinus citharus,moon fish,Citharinus,Citharinidae,animal,"Bony fishes: primitive groups, eels, herrings, carps, catfish, characins"
Salmo salar,Atlantic salmon,Salmo,Salmonidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Salmo trutta,brown / sea trout,Salmo,Salmonidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Oncorhynchus mykiss,rainbow trout / steelhead,Oncorhynchus,Salmonidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Oncorhynchus nerka,sockeye salmon,Oncorhynchus,Salmonidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Oncorhynchus kisutch,coho salmon,Oncorhynchus,Salmonidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Oncorhynchus tshawytscha,chinook salmon,Oncorhynchus,Salmonidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Oncorhynchus keta,chum salmon,Oncorhynchus,Salmonidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Oncorhynchus gorbuscha,pink salmon,Oncorhynchus,Salmonidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Oncorhynchus masou,masu salmon,Oncorhynchus,Salmonidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Oncorhynchus clarkii,cutthroat trout,Oncorhynchus,Salmonidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Salvelinus alpinus,Arctic char,Salvelinus,Salmonidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Salvelinus fontinalis,brook trout,Salvelinus,Salmonidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Salvelinus namaycush,lake trout,Salvelinus,Salmonidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Salvelinus malma,Dolly Varden,Salvelinus,Salmonidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Salvelinus leucomaenis,white-spotted char (iwana),Salvelinus,Salmonidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Hucho hucho,huchen,Hucho,Salmonidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Hucho taimen,taimen,Hucho,Salmonidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Thymallus thymallus,grayling,Thymallus,Salmonidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Thymallus arcticus,Arctic grayling,Thymallus,Salmonidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Coregonus clupeaformis,lake whitefish,Coregonus,Salmonidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Coregonus lavaretus,European whitefish,Coregonus,Salmonidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Coregonus albula,vendace,Coregonus,Salmonidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Coregonus artedi,cisco,Coregonus,Salmonidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Stenodus leucichthys,inconnu (sheefish),Stenodus,Salmonidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Osmerus mordax,rainbow smelt,Osmerus,Osmeridae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Osmerus eperlanus,European smelt,Osmerus,Osmeridae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Hypomesus nipponensis,wakasagi,Hypomesus,Osmeridae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Mallotus villosus,capelin,Mallotus,Osmeridae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Thaleichthys pacificus,eulachon,Thaleichthys,Osmeridae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Plecoglossus altivelis,ayu,Plecoglossus,Plecoglossidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Salangichthys microdon,Japanese icefish (shirauo),Salangichthys,Salangidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Neosalanx taihuensis,Taihu icefish,Neosalanx,Salangidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Galaxias maculatus,inanga (whitebait),Galaxias,Galaxiidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Esox lucius,northern pike,Esox,Esocidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Esox masquinongy,muskellunge,Esox,Esocidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Gadus morhua,Atlantic cod,Gadus,Gadidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Gadus macrocephalus,Pacific cod,Gadus,Gadidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Gadus chalcogrammus,Alaska pollock,Gadus,Gadidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Melanogrammus aeglefinus,haddock,Melanogrammus,Gadidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Pollachius virens,saithe (coley),Pollachius,Gadidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Pollachius pollachius,pollack,Pollachius,Gadidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Merlangius merlangus,whiting,Merlangius,Gadidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Micromesistius poutassou,blue whiting,Micromesistius,Gadidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Trisopterus luscus,pouting,Trisopterus,Gadidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Boreogadus saida,polar cod,Boreogadus,Gadidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Eleginus gracilis,saffron cod,Eleginus,Gadidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Molva molva,ling,Molva,Lotidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Molva dypterygia,blue ling,Molva,Lotidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Brosme brosme,cusk (tusk),Brosme,Lotidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Lota lota,burbot,Lota,Lotidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Merluccius merluccius,European hake,Merluccius,Merlucciidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Merluccius hubbsi,Argentine hake,Merluccius,Merlucciidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Merluccius productus,Pacific hake,Merluccius,Merlucciidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Merluccius capensis,shallow-water Cape hake,Merluccius,Merlucciidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Merluccius paradoxus,deep-water Cape hake,Merluccius,Merlucciidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Merluccius australis,southern hake,Merluccius,Merlucciidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Merluccius bilinearis,silver hake,Merluccius,Merlucciidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Macruronus novaezelandiae,hoki,Macruronus,Merlucciidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Macruronus magellanicus,Patagonian grenadier,Macruronus,Merlucciidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Urophycis tenuis,white hake,Urophycis,Phycidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Urophycis chuss,red hake,Urophycis,Phycidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Coryphaenoides rupestris,roundnose grenadier,Coryphaenoides,Macrouridae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Genypterus blacodes,pink ling (kingklip),Genypterus,Ophidiidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Genypterus capensis,kingklip,Genypterus,Ophidiidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Genypterus chilensis,congrio colorado,Genypterus,Ophidiidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Lophius piscatorius,monkfish,Lophius,Lophiidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Lophius americanus,American angler,Lophius,Lophiidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Lophius litulon,yellow goosefish (ankou),Lophius,Lophiidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Lophius budegassa,blackbellied angler,Lophius,Lophiidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Zeus faber,John Dory,Zeus,Zeidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Beryx splendens,splendid alfonsino,Beryx,Berycidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Beryx decadactylus,alfonsino,Beryx,Berycidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Hoplostethus atlanticus,orange roughy,Hoplostethus,Trachichthyidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Myripristis berndti,bigscale soldierfish (menpachi),Myripristis,Holocentridae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Lampris guttatus,opah,Lampris,Lampridae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Harpadon nehereus,Bombay duck,Harpadon,Synodontidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Saurida undosquamis,brushtooth lizardfish,Saurida,Synodontidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Mugil cephalus,flathead grey mullet (bottarga),Mugil,Mugilidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Chelon labrosus,thicklip grey mullet,Chelon,Mugilidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Planiliza haematocheila,redlip mullet,Planiliza,Mugilidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Mugil curema,white mullet,Mugil,Mugilidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Atherina boyeri,big-scale sand smelt,Atherina,Atherinidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Odontesthes bonariensis,pejerrey,Odontesthes,Atherinopsidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Chirostoma humboldtianum,charal,Chirostoma,Atherinopsidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Menidia menidia,Atlantic silverside,Menidia,Atherinopsidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Cololabis saira,Pacific saury (sanma),Cololabis,Scomberesocidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Scomberesox saurus,Atlantic saury,Scomberesox,Scomberesocidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Belone belone,garfish,Belone,Belonidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Hemiramphus brasiliensis,ballyhoo,Hemiramphus,Hemiramphidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Cheilopogon agoo,Japanese flying fish (tobiuo),Cheilopogon,Exocoetidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Cypselurus poecilopterus,yellowwing flyingfish (tobiko),Cypselurus,Exocoetidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Monopterus albus,Asian swamp eel,Monopterus,Synbranchidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Mastacembelus armatus,zig-zag eel,Mastacembelus,Mastacembelidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Oryzias latipes,medaka (historically eaten),Oryzias,Adrianichthyidae,animal,"Bony fishes: salmon, smelts, pike, cod, and relatives"
Sebastes norvegicus,golden redfish,Sebastes,Sebastidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Sebastes mentella,beaked redfish,Sebastes,Sebastidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Sebastes alutus,Pacific ocean perch,Sebastes,Sebastidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Sebastes schlegelii,Korean rockfish (jopi-bolrak),Sebastes,Sebastidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Sebastes inermis,Japanese rockfish (mebaru),Sebastes,Sebastidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Sebastes flavidus,yellowtail rockfish,Sebastes,Sebastidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Sebastes melanops,black rockfish,Sebastes,Sebastidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Sebastolobus alascanus,shortspine thornyhead,Sebastolobus,Sebastidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Helicolenus dactylopterus,blackbelly rosefish,Helicolenus,Sebastidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Scorpaena scrofa,red scorpionfish (rascasse),Scorpaena,Scorpaenidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Scorpaena porcus,black scorpionfish,Scorpaena,Scorpaenidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Pterois volitans,red lionfish,Pterois,Scorpaenidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Anoplopoma fimbria,sablefish,Anoplopoma,Anoplopomatidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Hexagrammos otakii,fat greenling (ainame),Hexagrammos,Hexagrammidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Ophiodon elongatus,lingcod,Ophiodon,Hexagrammidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Pleurogrammus azonus,Okhotsk atka mackerel (hokke),Pleurogrammus,Hexagrammidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Scorpaenichthys marmoratus,cabezon,Scorpaenichthys,Cottidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Cyclopterus lumpus,lumpfish (roe),Cyclopterus,Cyclopteridae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Chelidonichthys lucerna,tub gurnard,Chelidonichthys,Triglidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Eutrigla gurnardus,grey gurnard,Eutrigla,Triglidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Prionotus carolinus,northern searobin,Prionotus,Triglidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Platycephalus indicus,bartail flathead,Platycephalus,Platycephalidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Perca fluviatilis,European perch,Perca,Percidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Perca flavescens,yellow perch,Perca,Percidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Sander lucioperca,zander,Sander,Percidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Sander vitreus,walleye,Sander,Percidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Sander canadensis,sauger,Sander,Percidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Dicentrarchus labrax,European sea bass (branzino),Dicentrarchus,Moronidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Morone saxatilis,striped bass,Morone,Moronidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Morone chrysops,white bass,Morone,Moronidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Morone americana,white perch,Morone,Moronidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Lateolabrax japonicus,Japanese sea bass (suzuki),Lateolabrax,Lateolabracidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Epinephelus marginatus,dusky grouper,Epinephelus,Serranidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Epinephelus aeneus,white grouper,Epinephelus,Serranidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Epinephelus coioides,orange-spotted grouper,Epinephelus,Serranidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Epinephelus malabaricus,Malabar grouper,Epinephelus,Serranidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Epinephelus lanceolatus,giant grouper,Epinephelus,Serranidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Epinephelus fuscoguttatus,brown-marbled grouper,Epinephelus,Serranidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Epinephelus morio,red grouper,Epinephelus,Serranidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Epinephelus striatus,Nassau grouper,Epinephelus,Serranidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Mycteroperca bonaci,black grouper,Mycteroperca,Serranidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Mycteroperca microlepis,gag,Mycteroperca,Serranidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Plectropomus leopardus,coral trout,Plectropomus,Serranidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Cephalopholis miniata,coral hind,Cephalopholis,Serranidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Hyporthodus nigritus,Warsaw grouper,Hyporthodus,Serranidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Polyprion americanus,wreckfish,Polyprion,Polyprionidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Serranus cabrilla,comber,Serranus,Serranidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Doederleinia berycoides,blackthroat seaperch (nodoguro),Doederleinia,Acropomatidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Micropterus salmoides,largemouth bass,Micropterus,Centrarchidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Micropterus dolomieu,smallmouth bass,Micropterus,Centrarchidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Lepomis macrochirus,bluegill,Lepomis,Centrarchidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Pomoxis nigromaculatus,black crappie,Pomoxis,Centrarchidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Lutjanus campechanus,northern red snapper,Lutjanus,Lutjanidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Lutjanus argentimaculatus,mangrove red snapper,Lutjanus,Lutjanidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Lutjanus griseus,grey snapper,Lutjanus,Lutjanidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Lutjanus synagris,lane snapper,Lutjanus,Lutjanidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Lutjanus analis,mutton snapper,Lutjanus,Lutjanidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Lutjanus purpureus,southern red snapper,Lutjanus,Lutjanidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Lutjanus johnii,John's snapper,Lutjanus,Lutjanidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Lutjanus malabaricus,Malabar blood snapper,Lutjanus,Lutjanidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
Lutjanus bohar,two-spot red snapper,Lutjanus,Lutjanidae,animal,"Bony fishes: perch-like fishes, tunas, flatfishes and others"
